snid_rlap_group,num_sample,cat5_accuracy,cat5_Ia_tpr,cat5_Ia_fpr,cat5_Ia_purity,cat5_Ibc_tpr,cat5_Ibc_fpr,cat5_Ibc_purity,cat5_II_tpr,cat5_II_fpr,cat5_II_purity,cat5_SLSN_tpr,cat5_SLSN_fpr,cat5_SLSN_purity,cat5_NotSN_tpr,cat5_NotSN_fpr,cat5_NotSN_purity,cat2_accuracy,cat2_Ia_tpr,cat2_Ia_fpr,cat2_Ia_purity,cat2_NonIa_tpr,cat2_NonIa_fpr,cat2_NonIa_purity
3.0,81,0.25925925925925924,0.37037037037037035,0.2777777777777778,0.4,0.36363636363636365,0.3898305084745763,0.25806451612903225,0.1111111111111111,0.12962962962962962,0.3,0.0,0.17105263157894737,0.0,,0.024691358024691357,0.0,0.6049382716049383,0.37037037037037035,0.2777777777777778,0.4,0.7222222222222222,0.6296296296296297,0.6964285714285714
4.0,304,0.34210526315789475,0.5984251968503937,0.4293785310734463,0.5,0.39285714285714285,0.3225806451612903,0.21568627450980393,0.041237113402061855,0.05314009661835749,0.26666666666666666,0.1111111111111111,0.08041958041958042,0.08,0.0,0.03355704697986577,0.0,0.5822368421052632,0.5984251968503937,0.4293785310734463,0.5,0.5706214689265536,0.4015748031496063,0.6644736842105263
5.0,613,0.38499184339314846,0.6104868913857678,0.38439306358381503,0.5506756756756757,0.35294117647058826,0.33659491193737767,0.17307692307692307,0.167420814479638,0.03571428571428571,0.7254901960784313,0.0,0.06386554621848739,0.0,0.0,0.03289473684210526,0.0,0.6133768352365416,0.6104868913857678,0.38439306358381503,0.5506756756756757,0.615606936416185,0.3895131086142322,0.6719242902208202
6.0,676,0.4896449704142012,0.7098765432098766,0.29545454545454547,0.688622754491018,0.5229357798165137,0.2945326278659612,0.2544642857142857,0.1971153846153846,0.057692307692307696,0.6029411764705882,0.13636363636363635,0.035168195718654434,0.11538461538461539,0.0,0.03619909502262444,0.0,0.7071005917159763,0.7098765432098766,0.29545454545454547,0.688622754491018,0.7045454545454546,0.29012345679012347,0.7251461988304093
7.0,590,0.5864406779661017,0.798219584569733,0.233201581027668,0.8201219512195121,0.5,0.23552123552123552,0.22784810126582278,0.2469879518072289,0.0330188679245283,0.7454545454545455,0.0,0.02586206896551724,0.0,0.0,0.05811965811965812,0.0,0.7847457627118644,0.798219584569733,0.233201581027668,0.8201219512195121,0.766798418972332,0.20178041543026706,0.7404580152671756
8.0,486,0.7037037037037037,0.8812949640287769,0.1971153846153846,0.8566433566433567,0.6865671641791045,0.1360381861575179,0.44660194174757284,0.4098360655737705,0.027472527472527472,0.8333333333333334,0.0,0.023157894736842106,0.0,0.125,0.05230125523012552,0.038461538461538464,0.8477366255144033,0.8812949640287769,0.1971153846153846,0.8566433566433567,0.8028846153846154,0.11870503597122302,0.835
9.0,366,0.7158469945355191,0.8755555555555555,0.2553191489361702,0.8454935622317596,0.5283018867924528,0.12779552715654952,0.4117647058823529,0.4430379746835443,0.010452961672473868,0.9210526315789473,0.25,0.008287292817679558,0.25,0.2,0.060941828254847646,0.043478260869565216,0.825136612021858,0.8755555555555555,0.2553191489361702,0.8454935622317596,0.7446808510638298,0.12444444444444444,0.7894736842105263
10.0,289,0.754325259515571,0.896551724137931,0.18604651162790697,0.9191919191919192,0.6451612903225806,0.10852713178294573,0.4166666666666667,0.30612244897959184,0.008333333333333333,0.8823529411764706,0.0,0.02097902097902098,0.0,0.3333333333333333,0.06643356643356643,0.05,0.8719723183391004,0.896551724137931,0.18604651162790697,0.9191919191919192,0.813953488372093,0.10344827586206896,0.7692307692307693
11.0,268,0.8582089552238806,0.9666666666666667,0.13793103448275862,0.9620853080568721,0.75,0.03278688524590164,0.6923076923076923,0.23333333333333334,0.012605042016806723,0.7,0.0,0.0,,1.0,0.07142857142857142,0.09523809523809523,0.9440298507462687,0.9666666666666667,0.13793103448275862,0.9620853080568721,0.8620689655172413,0.03333333333333333,0.8771929824561403
12.0,160,0.81875,0.9504132231404959,0.10256410256410256,0.9663865546218487,0.5294117647058824,0.06293706293706294,0.5,0.4375,0.006944444444444444,0.875,0.0,0.012658227848101266,0.0,0.0,0.08333333333333333,0.0,0.9375,0.9504132231404959,0.10256410256410256,0.9663865546218487,0.8974358974358975,0.049586776859504134,0.8536585365853658
